DriveID,DriveLabel,Path,Depth,Type,Name,Subdirs,Files,ItemCount,FileTypes,Size,SizeUnit
CE6A70F1,Cell 9,E:\Dronestitute\Thermal Inspections\Chitimacha Tribal School,3,Folder,Chitimacha Tribal School,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Contractor Leads,2,Folder,Contractor Leads,3,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Contractor Leads\Pelican Roofing Leads,3,Folder,Pelican Roofing Leads,0,81,81,jpg:81,941.44,MB
CE6A70F1,Cell 9,E:\Dronestitute\Contractor Leads\Dallas,3,Folder,Dallas,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Contractor Leads\Austin,3,Folder,Austin,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\QSTestDenverColorado,2,Folder,QSTestDenverColorado,1,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\QSTestDenverColorado\P5 Denver 300ft,3,Folder,P5 Denver 300ft,0,2802,2802,jpg:2802,128.23,GB
CE6A70F1,Cell 9,E:\Dronestitute\SolarFarm,2,Folder,SolarFarm,0,252,252,jpg:239; mp4:6; srt:6; mrk:1,6.76,GB
CE6A70F1,Cell 9,E:\Dronestitute\SolarFarm1,2,Folder,SolarFarm1,0,88,88,jpg:80; mp4:4; srt:4,5.11,GB
CE6A70F1,Cell 9,E:\Dronestitute\ULLSolarFarm,2,Folder,ULLSolarFarm,5,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\ULLSolarFarm\DJI_202412111419_010_solarULLfarm,3,Folder,DJI_202412111419_010_solarULLfarm,0,868,868,jpg:867; mrk:1,11.36,GB
CE6A70F1,Cell 9,E:\Photography-Videography,1,Folder,Photography-Videography,7,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\BuildingPlans,1,Folder,BuildingPlans,2,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\BuildingPlans\105 Dorset,2,Folder,105 Dorset,2,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\PhoenixM3EFlights1-19-25,1,Folder,PhoenixM3EFlights1-19-25,1,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\WingtraPilotProjects,1,Folder,WingtraPilotProjects,1,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\PhoenixM3EFlights1-19-25_v2,1,Folder,PhoenixM3EFlights1-19-25_v2,25,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\St_Tammany,1,Folder,St_Tammany,3,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\St_Tammany\IIQ,2,Folder,IIQ,2,0,0,,0.0,MB
